IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CWWN,PEAWANUCK (AUT),71434,6016295,54.99032,-85.4407,53.57,MSC,CA,AUTO,Ontario
CWWZ,PORT WELLER (AUT),71432,6136699,43.24409,-79.2178,78.938,MSC,CA,AUTO,Ontario
CWYW,ARMSTRONG (AUT),71841,6040325,50.2936,-88.9053,324.2,MSC,CA,AUTO,Ontario
CXBI,BARRIE-ORO,71314,6117700,44.48444,-79.5464,292,MSC,CA,AUTO,Ontario
CXCA,CAMERON FALLS (AUT),71291,6041110,49.154,-88.3446,232.463,MSC,CA,AUTO,Ontario
CXDI,DELHI CS,71573,6131983,42.86357,-80.5452,235.852,MSC,CA,AUTO,Ontario
CXEA,EAR FALLS (AUT),71295,6012199,50.63066,-93.2214,352.5,MSC,CA,AUTO,Ontario
CXET,EGBERT CS,71296,6.11E+03,44.233,-79.78,252.5,MSC,CA,AUTO,Ontario
CXHA,HARROW CDA AUTO,71298,6133362,42.03302,-82.896,193.01,MSC,CA,AUTO,Ontario
CXHM,HAMILTON RBG CS,71297,6153301,43.28645,-79.9052,104.806,MSC,CA,AUTO,Ontario
CXKA,KAPUSKASING CDA ON,71299,6073980,49.40517,-82.4428,225.064,MSC,CA,AUTO,Ontario
CXKE,KEMPTVILLE CS,71300,6104027,45.00519,-75.6376,100.247,MSC,CA,AUTO,Ontario
CXKI,KIRKLAND LAKE,71301,6074207,48.08806,-80.0617,281.5,MSC,CA,AUTO,Ontario
CXOA,OTTAWA CDA RCS,71063,6105978,45.38237,-75.714,79.799,MSC,CA,AUTO,Ontario
CXPC,OTTAWA CDA RCS,71172,6116257,45.344,-80.042,184.8,MSC,CA,AUTO,Ontario
CXPT,POINT PELEE CS,71303,613P001,41.94875,-82.5192,176.415,MSC,CA,AUTO,Ontario
CXRG,RIDGETOWN RCS,71307,6137154,42.45366,-81.8865,201.476,MSC,CA,AUTO,Ontario
CXTO,TORONTO CITY,71508,6158355,43.665,-79.395,113.5,MSC,CA,AUTO,Ontario
CXVN,VINELAND STATION RCS,71171,6139148,43.19087,-79.3986,83.133,MSC,CA,AUTO,Ontario
CXZC,MOOSONEE RCS,71309,6075429,51.25697,-80.6636,13.11,MSC,CA,AUTO,Ontario
CYAM,Sault Ste Marie,71260,6057591,46.4851,-84.5096,192.6,NAV CANADA,NC-HWOS,MAN,Ontario
CYAT,Attawapiskat,71653,6010400,52.9276,-82.432,9.1,NAV CANADA,NC-AWOS,AUTO,Ontario
CYCK,Chatham-Kent,,6131414,42.3058,-82.0825,196.6,NAV CANADA,NC-AWOS,AUTO,Ontario
CYER,Fort Severn,71099,6012501,56.019,-87.6762,15.8,NAV CANADA,NC-AWOS,AUTO,Ontario
CYGK,Kingston,,6104152,44.2259,-76.5966,92.4,NAV CANADA,NC-AWOS,AUTO,Ontario
CYGK,Kingston,,6104149,44.2259,-76.5966,92.4,NAV CANADA,NC-HWOS,MAN,Ontario
CYGQ,Geraldton (Greenstone Regional),71834,6042718,49.7787,-86.9386,348.4,NAV CANADA,NC-AWOS,AUTO,Ontario
CYHD,Dryden Regional,71527,6032125,49.8317,-92.7442,412.7,NAV CANADA,NC-AWOS,AUTO,Ontario
CYHM,Hamilton,71263,6153193,43.1737,-79.9351,237.7,NAV CANADA,NC-HWOS,MAN,Ontario
CYKF,Kitchener/Waterloo,71368,6144239,43.4608,-80.3787,321.3,NAV CANADA,NC-AWOS,AUTO,Ontario
CYKP,Ogoki Post,71652,6075786,51.6581,-85.9011,181.1,NAV CANADA,NC-AWOS,AUTO,Ontario
CYKZ,Toronto/Buttonville Municipal,71639,6158409,43.8608,-79.3686,198.1,NAV CANADA,NC-AWOS,AUTO,Ontario
CYLD,Chapleau,71642,6061365,47.8202,-83.3469,448.1,NAV CANADA,NC-AWOS,AUTO,Ontario
CYLD,Chapleau,71642,6061362,47.8202,-83.3469,448.1,NAV CANADA,NC-HWOS,MAN,Ontario
CYLH,Lansdowne House,,6014351,52.1954,-87.9341,254.2,NAV CANADA,NC-AWOS,AUTO,Ontario
CYMO,Moosonee,71398,6075420,51.292,-80.6083,9.1,NAV CANADA,NC-AWOS,AUTO,Ontario
CYOO,Oshawa,71697,6155875,43.9228,-78.8967,140.2,NAV CANADA,NC-AWOS,AUTO,Ontario
CYOW,Ottawa/Macdonald-Cartier Interna,71628,6106001,45.3225,-75.6673,114.9,NAV CANADA,NC-HWOS,MAN,Ontario
